iter	RMSE
0	6490.465818
1	6315.997229
2	6152.022629
3	6012.96871
4	5838.208653
5	5655.552433
6	5496.905948
7	5368.428429
8	5228.244786
9	5083.458476
10	4933.711301
11	4750.034831
12	4618.172356
13	4450.028076
14	4338.309391
15	4270.908882
16	4165.274022
17	4068.922119
18	3965.060473
19	3866.102977
20	3776.890535
21	3685.363851
22	3597.737548
23	3489.363005
24	3401.491815
25	3310.963022
26	3234.73855
27	3169.075022
28	3097.239271
29	2999.225616
30	2928.412626
31	2851.942811
32	2785.320573
33	2736.381385
34	2659.430459
35	2606.728413
36	2550.652239
37	2507.96844
38	2458.243336
39	2390.172128
40	2332.946765
41	2275.026518
42	2234.673784
43	2186.243197
44	2145.19811
45	2075.707227
46	2031.4392
47	1979.068263
48	1921.902159
49	1878.71054
50	1843.658103
51	1803.056665
52	1762.938811
53	1723.866759
54	1688.522475
55	1656.697322
56	1622.464231
57	1581.511342
58	1534.278479
59	1514.001183
60	1485.389335
61	1456.326581
62	1423.300371
63	1398.145919
64	1372.218224
65	1346.192924
66	1324.276534
67	1299.941764
68	1277.037266
69	1255.29768
70	1229.139392
71	1208.569176
72	1189.45509
73	1169.639858
74	1149.180942
75	1130.299395
76	1111.845368
77	1091.795166
78	1074.834338
79	1058.153496
80	1042.415957
81	1021.628003
82	1003.95818
83	987.8692426
84	970.6923446
85	956.3027573
86	941.2632027
87	927.1184816
88	911.4294262
89	897.876978
90	883.4504673
91	871.3109948
92	859.1625123
93	845.400366
94	831.3862458
95	818.9121724
96	805.7683064
97	795.3934321
98	783.7328176
99	773.4818827
100	763.9696889
101	752.9708624
102	741.5971856
103	730.6440093
104	720.2178549
105	711.8995976
106	700.9671651
107	690.7751424
108	681.970852
109	673.2250684
110	663.4258096
111	654.7005772
112	645.2677482
113	636.5811969
114	628.4209571
115	620.5129925
116	613.5313358
117	604.2248658
118	595.7166261
119	588.0007895
120	580.4856267
121	573.0991099
122	565.5017909
123	557.508514
124	551.1480251
125	543.7851337
126	537.4301256
127	530.9466603
128	524.19596
129	517.9886433
130	511.5248379
131	505.8688166
132	499.7952328
133	494.4550818
134	487.8102308
