iter	Passed	Remaining
0	0	238
1	1	340
2	2	275
3	2	296
4	3	306
5	4	283
6	4	263
7	5	248
8	6	264
9	6	255
10	6	244
11	7	229
12	7	233
13	8	221
14	8	219
15	8	212
16	9	204
17	9	201
18	9	197
19	10	194
20	10	191
21	10	188
22	11	186
23	11	181
24	11	179
25	12	177
26	12	179
27	13	185
28	14	188
29	14	184
30	15	183
31	15	180
32	16	178
33	16	177
34	16	175
35	17	174
36	17	172
37	18	172
38	18	174
39	19	176
40	20	176
41	20	174
42	20	173
43	21	176
44	22	177
45	22	176
46	23	176
47	23	173
48	23	171
49	24	168
50	24	167
51	24	165
52	25	163
53	25	161
54	25	159
55	25	158
56	25	156
57	26	154
58	26	152
59	26	150
60	26	149
61	27	149
62	27	148
63	28	147
64	28	146
65	28	145
66	29	144
67	29	144
68	29	143
69	30	142
70	31	144
71	31	144
72	32	146
73	33	146
74	33	146
75	34	145
76	34	145
77	34	144
78	35	143
79	35	142
80	36	141
81	36	141
82	36	140
83	37	139
84	37	139
85	37	138
86	38	137
87	38	137
88	39	136
89	39	136
90	39	135
91	40	134
92	40	134
93	41	134
94	41	133
95	42	133
96	42	132
97	42	131
98	43	131
99	43	130
100	43	129
101	43	128
102	44	127
103	44	126
104	44	125
105	44	124
106	45	124
107	46	125
108	47	125
109	47	125
110	47	124
111	48	123
112	48	123
113	48	122
114	49	122
115	49	121
116	50	120
117	50	120
118	50	119
119	51	119
120	51	118
121	51	117
122	52	117
123	52	116
124	52	116
125	53	115
126	53	115
127	53	114
128	54	114
129	54	113
130	55	113
131	55	112
132	55	112
133	56	111
134	56	110
135	56	110
136	57	109
137	57	109
138	58	110
139	59	110
140	59	109
141	60	109
142	60	108
143	60	107
144	61	107
145	61	106
146	61	106
147	61	105
148	62	104
149	62	104
150	62	103
151	62	102
152	63	102
153	63	101
154	63	101
155	64	100
156	64	100
157	64	99
158	65	98
159	65	98
160	65	97
161	66	97
162	66	97
163	67	96
164	67	96
165	67	95
166	68	95
167	68	94
168	68	94
169	69	93
170	69	92
171	69	92
172	69	91
173	70	91
174	71	91
175	71	90
176	71	90
177	72	90
178	72	89
179	73	89
180	73	88
181	73	88
1182	79	941183	80	94184	75	87
185	75	86
186	75	86
1187	82	921188	82	92
189	83	92
190	83	91
191	84	91
192	84	91
193	85	90
194	85	90
195	86	89
196	86	89
197	87	88
198	87	88
199	87	87
200	88	87
201	88	86
202	88	862203	89	852204	89	852205	89	842206	90	84207	85	78
208	85	78
209	86	78
210	86	77
211	87	77
212	87	77
213	89	77
214	89	76
215	89	76
216	90	76
217	90	75
218	90	75
219	91	74
220	91	74
221	92	73
222	92	73
223	93	73
224	93	72
225	94	72
226	95	72
227	95	72
228	96	71
229	96	71
230	96	70
231	97	70
232	97	69
233	98	69
234	98	69
235	99	69
236	100	69
237	100	68
238	101	68
239	101	67
240	102	67
241	102	66
242	102	66
243	103	65
244	103	65
245	103	65
246	104	64
247	104	64
248	105	63
249	105	63
250	105	62
251	106	62
252	106	61
253	106	61
254	107	60
255	107	60
256	107	60
257	108	59
258	108	59
259	109	58
260	109	58
261	109	57
262	110	57
263	110	56
264	110	56
265	111	55
266	266	117267	267	118268	268	120	58
269	122	59
270	123	58
271	123	58
272	124	57
273	124	57
274	124	56
275	125	56
276	125	55
277	125	55
278	126	54
279	126	54
280	127	53
281	127	53
282	128	53
283	128	52
284	129	52
285	130	52
286	131	51
287	132	51
288	132	50
289	133	50
290	133	49
291	133	49
292	133	48
293	134	48
294	134	47
295	134	47
296	134	46
297	135	46
298	135	45
299	135	45
300	136	44
301	136	44
302	136	43
303	137	43
304	137	42
305	137	42
306	138	41
307	138	41
308	138	40
309	139	40
310	139	39
311	139	39
312	140	38
313	140	38
314	140	37
315	141316	135	35
317	136	35
318	136	34
319	137	34
320	137	33
321	138	33
322	138	33
323	139	32
324	139	32
325	140	31
326	140	31
327	140	30
328	141	30
329	141	30
330	142	29
331	142	29
332	142	28
333	333	149	29
334	149	29
335	150	28
336	150	28
337	150	27
338	151	27
339	151	26
340	152	26
341	152	25
342	153	25
343	153	24
344	153	24
345	154	24
346	154	23
347	155	23
348	155	22
349	155	22
350	156	21
351	156	21
352	157	20
353	157	20
354	157	20
355	158	19
356	158	19
357	158	18
358	159	18
359	159	17
360	159	17
361	160	16
362	160	16
363	160	15
364	161	15
365	161	15
366	162	14
367	162	14
368	162	13
369	163	13
370	163	12
371	163	12
372	164	11
373	164	11
374	165	11
375	165	10
376	165	10
377	166	9
378	166	9
379	166	8
380	167	8
381	167	7
382	167	7
383	167	6
384	168	6
385	168	6
386	169	5
387	170	5
388	170	4
389	170	4
390	170	3
391	171	3
392	171	3
393	171	2
394	172	2
395	172	1
396	172	1
397	172	0
398	173	0
399	173	0
	0
